Player,Class,Pos,School,weight,FT,IN,Height_IN,fty_dash,fty_pct_given_mass,Vertical,vrt_pct_given_mass,Bench,bch_pct_given_mass,broad_jump,bj_pct_given_mass,three_cone,three_pct_given_mass,Shuttle,shud_pct_given_mass,RAS
Jalen Pitre,2022,S,Baylor,198,5,11,71,,1,35,0.848005122,16,0.64031939,,0,6.74,0.736979115,4.18,0.751687949,3.976991576
Jack Sanborn,2022,LB,Wisconsin,234,6,2,74,4.73,0.986202376,34.5,1.029611926,20,0.985895092,114,0.959459986,,0,,0,3.961169379
Jalen Nailor,2022,WR,Michigan St.,186,5,11,71,4.5,0.790566463,38,0.864891804,,0,128,0.821591053,7.03,0.722101692,4.28,0.723024193,3.922175206
Daxton Hill,2022,S,Michigan,191,6,1,73,4.38,0.857554489,33.5,0.805022329,,0,121,0.820004124,6.57,0.712513901,4.06,0.724135816,3.919230659
Kevin Harris,2022,RB,South Carolina,221,5,10,70,,1,38.5,1.026497593,21,0.92483177,126,0.947404183,,0,,0,3.898733545
Treylon Burks,2022,WR,Arkansas,225,6,2,74,4.55,0.985785553,33,0.94696749,,0,122,0.987298569,7.28,0.942795199,,0,3.862846811
Chasen Hines,2022,C,LSU,327,6,3,75,5.22,1.265663107,30.5,1.289186495,,0,108,1.287381341,,0,,0,3.842230944
Neil Farrell,2022,DT,LSU,330,6,4,76,5.41,1.248848841,21.5,0.929336264,,0,,0,8.41,1.640571916,,0,3.818757021
Erik Ezukanma,2022,WR,Texas Tech,209,6,2,74,,1,36.5,0.972921414,,0,126,0.947159217,,0,4.38,0.866542532,3.786623163
Markquese Bell,2022,S,Florida A&M,212,6,2,74,4.41,0.958315691,36.5,0.986886793,,0,123,0.937879689,,0,4.46,0.895035388,3.778117561
Andrew Rupcich,2022,OT,Culver-Stockton College,318,6,6,78,5.31,1.258365519,27.5,1.175604686,,0,108,1.30202678,,0,,0,3.735996986
Tré Turner,2022,WR,Virginia Tech,184,6,1,73,4.51,0.802312852,27,0.625045078,,0,113,0.737723411,7.45,0.778338836,4.53,0.778353087,3.721773265
Kenny Pickett,2022,QB,Pittsburgh,217,6,3,75,4.73,0.926914049,33.5,0.939664233,,0,121,0.957151769,,0,4.29,0.893132836,3.716862887
Snoop Conner,2022,RB,Mississippi,222,5,10,70,4.59,0.912048507,29.5,0.790096108,25,1.105972058,118,0.891266249,,0,,0,3.699382922
Eyioma Uwazurike,2022,DT,Iowa St.,316,6,6,78,,1,33,1.401853135,,0,107,1.281857952,,0,,0,3.683711087
Boye Mafe,2022,EDGE,Minnesota,261,6,4,76,4.53,1.179602015,38,1.299105999,,0,125,1.205142914,,0,,0,3.683850928
Devonte Wyatt,2022,DT,Georgia,304,6,3,75,4.77,1.287644793,29,1.139566666,,0,111,1.230076905,,0,,0,3.657288364
Joshua Paschal,2022,DE,Kentucky,268,6,3,75,4.77,1.135160541,37.5,1.299074977,,0,123,1.201643406,,0,,0,3.635878924
Christopher Hinton,2022,DT,Michigan,305,6,4,76,5.28,1.182657845,31.5,1.258435258,,0,106,1.194245836,,0,,0,3.635338939
Kerby Joseph,2022,S,Illinois,203,6,1,73,,1,38.5,0.983301088,18,0.759354437,123,0.885928042,,0,,0,3.628583566
Dameon Pierce,2022,RB,Florida,218,5,10,70,4.59,0.895615201,34.5,0.907361861,21,0.912277492,119,0.882624409,,0,,0,3.597878964
Leo Chenal,2022,LB,Wisconsin,250,6,3,75,4.53,1.115020053,40.5,1.308769566,,0,128,1.166502518,,0,,0,3.590292137
Jonathan Ford,2022,DT,Miami,333,6,5,77,,1,29,1.28156267,,0,102,1.27118737,,0,,0,3.552750041
Brandon Smith,2022,LB,Penn St.,250,6,4,76,4.52,1.132386737,37.5,1.227981321,,0,128,1.182055885,,0,,0,3.542423943
Thayer Munford,2022,OT,Ohio St.,328,6,6,78,5.39,1.278672394,22,0.97005871,,0,104,1.293231352,,0,,0,3.541962456
Justin Shaffer,2022,OG,Georgia,314,6,4,76,5.14,1.250718948,25.5,1.048794287,,0,107,1.241084801,,0,,0,3.540598035
Micheal Clemons,2022,DE,Texas A&M,263,6,5,77,,1,,0,24,1.383600936,116,1.14177072,,0,,0,3.525371656
Nicholas Petit-Frere,2022,OT,Ohio St.,316,6,5,77,5.14,1.27524696,24.5,1.02742655,,0,103,1.21811831,,0,,0,3.52079182
Jaquan Brisker,2022,S,Penn St.,199,6,1,73,4.49,0.871583908,34.5,0.863777573,22,0.909812185,124,0.875532074,,0,,0,3.52070574
Sam Williams,2022,EDGE,Mississippi,261,6,4,76,4.46,1.198115948,32.5,1.111077499,,0,123,1.185860627,,0,,0,3.495054074
Juanyeh Thomas,2022,S,Georgia Tech,212,6,1,73,4.55,0.91627731,34,0.906868945,17,0.748963708,122,0.917683643,,0,,0,3.489793607
Dustin Crum,2022,QB,Kent St.,210,6,1,73,4.75,0.869417051,32.5,0.858682096,,0,120,0.89412418,,0,4.36,0.855000584,3.477223911
Jayden Peevy,2022,DT,Texas A&M,308,6,5,77,5.3,1.205438838,27,1.103601032,,0,100,1.152698905,,0,,0,3.461738775
Calvin Austin,2022,WR,Memphis,170,5,8,68,4.32,0.720864594,39,0.777014876,,0,135,0.758518262,6.65,0.597931212,4.07,0.601852419,3.456181363
Isaiah Thomas,2022,EDGE,Oklahoma,266,6,5,77,4.7,1.173962196,31.5,1.111961646,,0,117,1.164749848,,0,,0,3.45067369
Marquis Hayes,2022,OG,Oklahoma,318,6,5,77,5.3,1.244576463,23.5,0.991728056,,0,102,1.213926678,,0,,0,3.450231197
Kingsley Enagbare,2022,DE,South Carolina,258,6,4,76,4.87,1.084635825,36.5,1.233482678,,0,117,1.115048092,,0,,0,3.433166595
Troy Andersen,2022,LB,Montana St.,243,6,4,76,4.42,1.125582169,36,1.14585393,,0,128,1.14895832,,0,,0,3.420394419
Jermaine Johnson II,2022,DE,Florida St.,254,6,5,77,4.58,1.150372713,32,1.078651899,,0,125,1.188252929,,0,,0,3.417277541
